# timestep time_ps T_1 T_2 T_3 T_4 T_5 T_6 T_7 T_8 T_9 T_10 heatflux kappa_int kappa_eff absorbed injected recovered net hs_injected hs_injected_energy_ev
0 0 300.9 300.701 300.503 300.298 300.1 299.9 299.701 299.498 299.3 299.099 -1.50985e+07 -0.754149 -0.754923 0 0 0 0 0 0
1 0.1 300.9 300.701 300.502 300.299 300.1 299.9 299.7 299.5 299.3 299.099 9.54831e+06 0.477114 0.477416 135 124 0 -11 0 0
10 1 300.898 300.701 300.502 300.299 300.101 299.899 299.7 299.5 299.299 299.101 9.2612e+07 4.63173 4.6306 134 124 0 -10 0 0
20 2 300.893 300.701 300.502 300.299 300.099 299.898 299.7 299.5 299.3 299.105 1.71321e+08 8.59021 8.56606 118 106 0 -12 0 0
30 3 300.885 300.701 300.499 300.298 300.099 299.898 299.699 299.5 299.301 299.113 2.4059e+08 12.1254 12.0295 115 95 0 -20 0 0
40 4 300.875 300.699 300.499 300.298 300.097 299.898 299.699 299.501 299.303 299.121 2.99996e+08 15.2091 14.9998 109 113 0 4 0 0
50 5 300.865 300.696 300.499 300.298 300.095 299.899 299.699 299.501 299.306 299.131 3.52788e+08 18.0095 17.6394 102 115 0 13 0 0
60 6 300.856 300.691 300.499 300.297 300.093 299.897 299.7 299.501 299.31 299.142 3.99584e+08 20.5633 19.9792 123 118 0 -5 0 0
70 7 300.847 300.684 300.498 300.296 300.091 299.898 299.702 299.503 299.313 299.153 4.40229e+08 22.8459 22.0115 102 119 0 17 0 0
80 8 300.835 300.678 300.495 300.296 300.096 299.894 299.702 299.506 299.319 299.165 4.79353e+08 25.1317 23.9677 108 120 0 12 0 0
90 9 300.825 300.669 300.491 300.293 300.098 299.897 299.702 299.509 299.325 299.177 5.13773e+08 27.2383 25.6886 106 108 0 2 0 0
100 10 300.815 300.661 300.486 300.293 300.097 299.897 299.703 299.511 299.334 299.186 5.41089e+08 28.9892 27.0545 114 105 0 -9 0 0
110 11 300.803 300.654 300.482 300.291 300.099 299.898 299.703 299.516 299.342 299.195 5.68138e+08 30.7802 28.4069 115 118 0 3 0 0
120 12 300.792 300.644 300.476 300.291 300.101 299.9 299.706 299.516 299.353 299.204 5.92361e+08 32.4851 29.6181 105 116 0 11 0 0
130 13 300.782 300.638 300.468 300.291 300.099 299.904 299.71 299.518 299.361 299.215 6.12585e+08 34.0057 30.6292 119 95 0 -24 0 0
140 14 300.775 300.628 300.459 300.29 300.096 299.906 299.71 299.525 299.371 299.224 6.30586e+08 35.4317 31.5293 114 118 0 4 0 0
150 15 300.766 300.618 300.454 300.285 300.102 299.908 299.712 299.533 299.377 299.232 6.4736e+08 36.811 32.368 115 123 0 8 0 0
160 16 300.756 300.609 300.447 300.282 300.103 299.912 299.71 299.543 299.385 299.242 6.62456e+08 38.1878 33.1228 111 120 0 9 0 0
170 17 300.746 300.601 300.442 300.279 300.101 299.91 299.718 299.547 299.397 299.249 6.75651e+08 39.4592 33.7826 109 113 0 4 0 0
180 18 300.736 300.592 300.44 300.274 300.102 299.905 299.73 299.553 299.404 299.259 6.87799e+08 40.7189 34.39 99 113 0 14 0 0
190 19 300.726 300.584 300.432 300.269 300.1 299.907 299.735 299.562 299.411 299.267 6.98013e+08 41.9101 34.9006 129 107 0 -22 0 0
200 20 300.717 300.578 300.428 300.266 300.093 299.911 299.739 299.569 299.42 299.275 7.05215e+08 42.872 35.2608 123 106 0 -17 0 0
210 21 300.709 300.573 300.423 300.259 300.09 299.915 299.742 299.583 299.424 299.281 7.12237e+08 43.7963 35.6118 122 121 0 -1 0 0
