index,x_nm,y_nm,z_nm,volume_nm3
0,0.5,0.5,0.5,1.12281
1,0.5,0.5,1.5,1.12281
2,0.5,0.5,2.5,1.12281
3,0.5,0.5,3.5,1.12281
4,0.5,0.5,4.5,1.12281
5,0.5,0.5,5.5,1.12281
6,0.5,0.5,6.5,1.12281
7,0.5,0.5,7.5,1.12281
8,0.5,0.5,8.5,1.12281
9,0.5,0.5,9.5,1.12281
10,0.5,1.5,0.5,1.12281
11,0.5,1.5,1.5,1.12281
12,0.5,1.5,2.5,1.12281
13,0.5,1.5,3.5,1.12281
14,0.5,1.5,4.5,1.12281
15,0.5,1.5,5.5,1.12281
16,0.5,1.5,6.5,1.12281
17,0.5,1.5,7.5,1.12281
18,0.5,1.5,8.5,1.12281
19,0.5,1.5,9.5,1.12281
20,0.5,2.5,0.5,1.12281
21,0.5,2.5,1.5,1.12281
22,0.5,2.5,2.5,1.12281
23,0.5,2.5,3.5,1.12281
24,0.5,2.5,4.5,1.12281
25,0.5,2.5,5.5,1.12281
26,0.5,2.5,6.5,1.12281
27,0.5,2.5,7.5,1.12281
28,0.5,2.5,8.5,1.12281
29,0.5,2.5,9.5,1.12281
30,0.5,3.5,0.5,1.12281
31,0.5,3.5,1.5,1.12281
32,0.5,3.5,2.5,1.12281
33,0.5,3.5,3.5,1.12281
34,0.5,3.5,4.5,1.12281
35,0.5,3.5,5.5,1.12281
36,0.5,3.5,6.5,1.12281
37,0.5,3.5,7.5,1.12281
38,0.5,3.5,8.5,1.12281
39,0.5,3.5,9.5,1.12281
40,0.5,4.5,0.5,1.12281
41,0.5,4.5,1.5,1.12281
42,0.5,4.5,2.5,1.12281
43,0.5,4.5,3.5,1.12281
44,0.5,4.5,4.5,1.12281
45,0.5,4.5,5.5,1.12281
46,0.5,4.5,6.5,1.12281
47,0.5,4.5,7.5,1.12281
48,0.5,4.5,8.5,1.12281
49,0.5,4.5,9.5,1.12281
50,0.5,5.5,0.5,1.12281
51,0.5,5.5,1.5,1.12281
52,0.5,5.5,2.5,1.12281
53,0.5,5.5,3.5,1.12281
54,0.5,5.5,4.5,1.12281
55,0.5,5.5,5.5,1.12281
56,0.5,5.5,6.5,1.12281
57,0.5,5.5,7.5,1.12281
58,0.5,5.5,8.5,1.12281
59,0.5,5.5,9.5,1.12281
60,0.5,6.5,0.5,1.12281
61,0.5,6.5,1.5,1.12281
62,0.5,6.5,2.5,1.12281
63,0.5,6.5,3.5,1.12281
64,0.5,6.5,4.5,1.12281
65,0.5,6.5,5.5,1.12281
66,0.5,6.5,6.5,1.12281
67,0.5,6.5,7.5,1.12281
68,0.5,6.5,8.5,1.12281
69,0.5,6.5,9.5,1.12281
70,0.5,7.5,0.5,1.12281
71,0.5,7.5,1.5,1.12281
72,0.5,7.5,2.5,1.12281
73,0.5,7.5,3.5,1.12281
74,0.5,7.5,4.5,1.12281
75,0.5,7.5,5.5,1.12281
76,0.5,7.5,6.5,1.12281
77,0.5,7.5,7.5,1.12281
78,0.5,7.5,8.5,1.12281
79,0.5,7.5,9.5,1.12281
80,0.5,8.5,0.5,1.12281
81,0.5,8.5,1.5,1.12281
82,0.5,8.5,2.5,1.12281
83,0.5,8.5,3.5,1.12281
84,0.5,8.5,4.5,1.12281
85,0.5,8.5,5.5,1.12281
86,0.5,8.5,6.5,1.12281
87,0.5,8.5,7.5,1.12281
88,0.5,8.5,8.5,1.12281
89,0.5,8.5,9.5,1.12281
90,0.5,9.5,0.5,1.12281
91,0.5,9.5,1.5,1.12281
92,0.5,9.5,2.5,1.12281
93,0.5,9.5,3.5,1.12281
94,0.5,9.5,4.5,1.12281
95,0.5,9.5,5.5,1.12281
96,0.5,9.5,6.5,1.12281
97,0.5,9.5,7.5,1.12281
98,0.5,9.5,8.5,1.12281
99,0.5,9.5,9.5,1.12281
100,0.5,10.5,0.5,1.12281
101,0.5,10.5,1.5,1.12281
102,0.5,10.5,2.5,1.12281
103,0.5,10.5,3.5,1.12281
104,0.5,10.5,4.5,1.12281
105,0.5,10.5,5.5,1.12281
106,0.5,10.5,6.5,1.12281
107,0.5,10.5,7.5,1.12281
108,0.5,10.5,8.5,1.12281
109,0.5,10.5,9.5,1.12281
110,0.5,11.5,0.5,1.12281
111,0.5,11.5,1.5,1.12281
112,0.5,11.5,2.5,1.12281
113,0.5,11.5,3.5,1.12281
114,0.5,11.5,4.5,1.12281
115,0.5,11.5,5.5,1.12281
116,0.5,11.5,6.5,1.12281
117,0.5,11.5,7.5,1.12281
118,0.5,11.5,8.5,1.12281
119,0.5,11.5,9.5,1.12281
120,0.5,12.5,0.5,1.12281
121,0.5,12.5,1.5,1.12281
122,0.5,12.5,2.5,1.12281
123,0.5,12.5,3.5,1.12281
124,0.5,12.5,4.5,1.12281
125,0.5,12.5,5.5,1.12281
126,0.5,12.5,6.5,1.12281
127,0.5,12.5,7.5,1.12281
128,0.5,12.5,8.5,1.12281
129,0.5,12.5,9.5,1.12281
130,0.5,13.5,0.5,1.12281
131,0.5,13.5,1.5,1.12281
132,0.5,13.5,2.5,1.12281
133,0.5,13.5,3.5,1.12281
134,0.5,13.5,4.5,1.12281
135,0.5,13.5,5.5,1.12281
136,0.5,13.5,6.5,1.12281
137,0.5,13.5,7.5,1.12281
138,0.5,13.5,8.5,1.12281
139,0.5,13.5,9.5,1.12281
140,0.5,14.5,0.5,1.12281
141,0.5,14.5,1.5,1.12281
142,0.5,14.5,2.5,1.12281
143,0.5,14.5,3.5,1.12281
144,0.5,14.5,4.5,1.12281
145,0.5,14.5,5.5,1.12281
146,0.5,14.5,6.5,1.12281
147,0.5,14.5,7.5,1.12281
148,0.5,14.5,8.5,1.12281
149,0.5,14.5,9.5,1.12281
150,0.5,15.5,0.5,1.12281
151,0.5,15.5,1.5,1.12281
152,0.5,15.5,2.5,1.12281
153,0.5,15.5,3.5,1.12281
154,0.5,15.5,4.5,1.12281
155,0.5,15.5,5.5,1.12281
156,0.5,15.5,6.5,1.12281
157,0.5,15.5,7.5,1.12281
158,0.5,15.5,8.5,1.12281
159,0.5,15.5,9.5,1.12281
160,0.5,16.5,0.5,1.12281
161,0.5,16.5,1.5,1.12281
162,0.5,16.5,2.5,1.12281
163,0.5,16.5,3.5,1.12281
164,0.5,16.5,4.5,1.12281
165,0.5,16.5,5.5,1.12281
166,0.5,16.5,6.5,1.12281
167,0.5,16.5,7.5,1.12281
168,0.5,16.5,8.5,1.12281
169,0.5,16.5,9.5,1.12281
170,0.5,17.5,0.5,1.12281
171,0.5,17.5,1.5,1.12281
172,0.5,17.5,2.5,1.12281
173,0.5,17.5,3.5,1.12281
174,0.5,17.5,4.5,1.12281
175,0.5,17.5,5.5,1.12281
176,0.5,17.5,6.5,1.12281
177,0.5,17.5,7.5,1.12281
178,0.5,17.5,8.5,1.12281
179,0.5,17.5,9.5,1.12281
180,0.5,18.5,0.5,1.12281
181,0.5,18.5,1.5,1.12281
182,0.5,18.5,2.5,1.12281
183,0.5,18.5,3.5,1.12281
184,0.5,18.5,4.5,1.12281
185,0.5,18.5,5.5,1.12281
186,0.5,18.5,6.5,1.12281
187,0.5,18.5,7.5,1.12281
188,0.5,18.5,8.5,1.12281
189,0.5,18.5,9.5,1.12281
190,0.5,19.5,0.5,1.12281
191,0.5,19.5,1.5,1.12281
192,0.5,19.5,2.5,1.12281
193,0.5,19.5,3.5,1.12281
194,0.5,19.5,4.5,1.12281
195,0.5,19.5,5.5,1.12281
196,0.5,19.5,6.5,1.12281
197,0.5,19.5,7.5,1.12281
198,0.5,19.5,8.5,1.12281
199,0.5,19.5,9.5,1.12281
200,0.5,20.5,0.5,1.12281
201,0.5,20.5,1.5,1.12281
202,0.5,20.5,2.5,1.12281
203,0.5,20.5,3.5,1.12281
204,0.5,20.5,4.5,1.12281
205,0.5,20.5,5.5,1.12281
206,0.5,20.5,6.5,1.12281
207,0.5,20.5,7.5,1.12281
208,0.5,20.5,8.5,1.12281
209,0.5,20.5,9.5,1.12281
210,0.5,21.5,0.5,1.12281
211,0.5,21.5,1.5,1.12281
212,0.5,21.5,2.5,1.12281
213,0.5,21.5,3.5,1.12281
214,0.5,21.5,4.5,1.12281
215,0.5,21.5,5.5,1.12281
216,0.5,21.5,6.5,1.12281
217,0.5,21.5,7.5,1.12281
218,0.5,21.5,8.5,1.12281
219,0.5,21.5,9.5,1.12281
220,0.5,22.5,0.5,1.12281
221,0.5,22.5,1.5,1.12281
222,0.5,22.5,2.5,1.12281
223,0.5,22.5,3.5,1.12281
224,0.5,22.5,4.5,1.12281
225,0.5,22.5,5.5,1.12281
226,0.5,22.5,6.5,1.12281
227,0.5,22.5,7.5,1.12281
228,0.5,22.5,8.5,1.12281
229,0.5,22.5,9.5,1.12281
230,0.5,23.5,0.5,1.12281
231,0.5,23.5,1.5,1.12281
232,0.5,23.5,2.5,1.12281
233,0.5,23.5,3.5,1.12281
234,0.5,23.5,4.5,1.12281
235,0.5,23.5,5.5,1.12281
236,0.5,23.5,6.5,1.12281
237,0.5,23.5,7.5,1.12281
238,0.5,23.5,8.5,1.12281
239,0.5,23.5,9.5,1.12281
240,0.5,24.5,0.5,1.12281
241,0.5,24.5,1.5,1.12281
242,0.5,24.5,2.5,1.12281
243,0.5,24.5,3.5,1.12281
244,0.5,24.5,4.5,1.12281
245,0.5,24.5,5.5,1.12281
246,0.5,24.5,6.5,1.12281
247,0.5,24.5,7.5,1.12281
248,0.5,24.5,8.5,1.12281
249,0.5,24.5,9.5,1.12281
250,0.5,25.5,0.5,1.12281
251,0.5,25.5,1.5,1.12281
252,0.5,25.5,2.5,1.12281
253,0.5,25.5,3.5,1.12281
254,0.5,25.5,4.5,1.12281
