# timestep time_ps T_1 T_2 T_3 T_4 T_5 T_6 T_7 T_8 T_9 T_10 heatflux kappa_int kappa_eff absorbed injected recovered net hs_injected hs_injected_energy_ev
0 0 300.897 300.703 300.501 300.302 300.099 299.9 299.698 299.499 299.299 299.099 -138474 -0.0691571 -0.0692368 0 0 0 0 0 0
1 0.1 300.899 300.7 300.5 300.3 300.1 299.901 299.7 299.5 299.3 299.099 808734 0.404433 0.404367 8 12 0 4 0 0
10 1 300.899 300.7 300.499 300.3 300.1 299.901 299.701 299.5 299.3 299.099 9.43831e+06 4.721 4.71916 7 11 0 4 0 0
20 2 300.898 300.7 300.499 300.3 300.1 299.901 299.7 299.5 299.3 299.099 1.70848e+07 8.54694 8.54241 8 16 0 8 0 0
30 3 300.898 300.7 300.499 300.3 300.1 299.901 299.7 299.5 299.3 299.1 2.39587e+07 11.9875 11.9794 11 14 0 3 0 0
40 4 300.898 300.699 300.499 300.3 300.1 299.901 299.7 299.5 299.3 299.1 3.01099e+07 15.0686 15.0549 9 10 0 1 0 0
50 5 300.898 300.7 300.498 300.3 300.1 299.901 299.7 299.5 299.3 299.1 3.5838e+07 17.9366 17.919 11 10 0 -1 0 0
60 6 300.897 300.7 300.499 300.301 300.1 299.901 299.7 299.5 299.3 299.1 4.11874e+07 20.6158 20.5937 12 16 0 4 0 0
70 7 300.896 300.699 300.498 300.301 300.1 299.901 299.699 299.5 299.3 299.101 4.57257e+07 22.9016 22.8629 18 12 0 -6 0 0
80 8 300.896 300.699 300.498 300.301 300.1 299.901 299.7 299.5 299.3 299.101 5.02389e+07 25.1702 25.1195 13 9 0 -4 0 0
90 9 300.895 300.699 300.498 300.301 300.1 299.901 299.7 299.499 299.3 299.102 5.35581e+07 26.8376 26.7791 23 17 0 -6 0 0
100 10 300.895 300.699 300.498 300.301 300.1 299.901 299.7 299.5 299.3 299.102 5.76607e+07 28.899 28.8303 10 12 0 2 0 0
110 11 300.894 300.699 300.498 300.301 300.1 299.901 299.7 299.5 299.3 299.102 6.05052e+07 30.3341 30.2526 11 9 0 -2 0 0
120 12 300.894 300.699 300.497 300.301 300.1 299.901 299.7 299.5 299.3 299.103 6.33468e+07 31.7687 31.6734 12 11 0 -1 0 0
130 13 300.893 300.699 300.497 300.301 300.1 299.901 299.699 299.5 299.3 299.104 6.63842e+07 33.3032 33.1921 10 13 0 3 0 0
140 14 300.893 300.699 300.497 300.302 300.1 299.901 299.7 299.5 299.3 299.104 6.89575e+07 34.6096 34.4788 15 12 0 -3 0 0
150 15 300.893 300.699 300.497 300.302 300.099 299.902 299.7 299.5 299.301 299.105 7.12697e+07 35.7807 35.6348 10 12 0 2 0 0
160 16 300.892 300.699 300.498 300.302 300.099 299.902 299.7 299.5 299.301 299.105 7.32367e+07 36.7755 36.6184 10 19 0 9 0 0
170 17 300.891 300.699 300.498 300.302 300.099 299.902 299.699 299.5 299.3 299.106 7.55427e+07 37.9494 37.7714 16 9 0 -7 0 0
180 18 300.891 300.698 300.497 300.301 300.099 299.902 299.699 299.5 299.3 299.107 7.75603e+07 38.9847 38.7801 13 6 0 -7 0 0
190 19 300.89 300.698 300.498 300.302 300.099 299.902 299.699 299.5 299.3 299.108 7.9427e+07 39.9372 39.7135 13 13 0 0 0 0
200 20 300.889 300.698 300.498 300.302 300.099 299.902 299.699 299.5 299.301 299.109 8.07512e+07 40.6215 40.3756 11 13 0 2 0 0
210 21 300.889 300.698 300.498 300.303 300.099 299.903 299.7 299.501 299.301 299.11 8.27536e+07 41.6545 41.3768 19 5 0 -14 0 0
220 22 300.888 300.698 300.498 300.303 300.099 299.903 299.7 299.501 299.3 299.11 8.43e+07 42.4424 42.15 11 18 0 7 0 0
230 23 300.888 300.698 300.498 300.303 300.099 299.903 299.7 299.5 299.3 299.111 8.49309e+07 42.7648 42.4655 10 20 0 10 0 0
240 24 300.887 300.698 300.498 300.303 300.099 299.903 299.7 299.5 299.3 299.111 8.58572e+07 43.2377 42.9286 11 10 0 -1 0 0
250 25 300.886 300.698 300.498 300.303 300.099 299.903 299.7 299.5 299.299 299.112 8.73833e+07 44.0265 43.6916 15 14 0 -1 0 0
260 26 300.886 300.698 300.499 300.302 300.099 299.903 299.7 299.5 299.299 299.113 8.8147e+07 44.4236 44.0735 10 11 0 1 0 0
270 27 300.885 300.698 300.499 300.302 300.099 299.902 299.7 299.501 299.299 299.114 8.96286e+07 45.1908 44.8143 11 12 0 1 0 0
280 28 300.884 300.698 300.499 300.301 300.099 299.902 299.699 299.501 299.299 299.114 9.05715e+07 45.6839 45.2857 18 14 0 -4 0 0
290 29 300.884 300.698 300.499 300.301 300.099 299.902 299.7 299.501 299.299 299.115 9.13547e+07 46.1035 45.6774 11 9 0 -2 0 0
300 30 300.883 300.697 300.498 300.301 300.099 299.902 299.7 299.501 299.299 299.116 9.23671e+07 46.6421 46.1836 6 11 0 5 0 0
310 31 300.882 300.698 300.498 300.301 300.099 299.903 299.7 299.5 299.299 299.116 9.32975e+07 47.1255 46.6487 8 9 0 1 0 0
320 32 300.881 300.697 300.499 300.301 300.099 299.903 299.7 299.501 299.299 299.117 9.43273e+07 47.6741 47.1637 15 14 0 -1 0 0
