grid_index,band,frequency(THz),tau_N_RTA(ps),tau_U_RTA(ps),tau_RTA_NU(ps),tau_MC(ps)
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,3,1.16284e-07,0,0,0,0
0,4,26.7267,18.0831,0,18.0831,0
0,5,42.2863,27.9326,0,27.9326,0
0,6,42.4462,27.9133,0,27.9133,0
1,1,0.271136,12835,3.85672e+11,12835,37089.5
1,2,2.10676,155.78,432713,155.724,849.736
1,3,3.28309,61.2723,252837,61.2575,391.431
1,4,26.6961,33.2624,1350.58,32.4629,2795.93
1,5,42.3228,26.6808,24998.1,26.6523,7621.75
1,6,42.4662,26.8471,16147.1,26.8025,1222.25
2,1,0.667555,1523.96,3.77621e+07,1523.9,3940.36
2,2,4.19096,113.793,72356.1,113.614,757.817
2,3,6.54345,46.9704,22253.1,46.8715,292.431
2,4,26.6038,35.8677,674.102,34.0557,1119.79
2,5,42.2766,24.3798,7626.53,24.3021,856.245
2,6,42.6743,29.1116,5827.86,28.9669,1012.68
3,1,1.24456,634.492,6.10042e+06,634.426,1576.5
3,2,6.23007,101.182,17788,100.61,984.712
3,3,9.75872,39.5764,22389.6,39.5065,369.083
3,4,26.4483,39.032,276.72,34.207,1625.96
3,5,42.1438,26.4419,1363.2,25.9387,4247.56
3,6,43.0528,23.0082,7312.33,22.936,294.367
4,1,2.00847,300.037,1.06747e+06,299.953,758.711
4,2,8.20166,90.2094,14460,89.6501,893.333
4,3,12.9077,32.4929,9532.11,32.3825,153.835
4,4,26.2277,44.3908,122.941,32.6145,474.664
4,5,41.9611,21.8965,6632,21.8244,167.586
4,6,43.5324,22.5071,8499.18,22.4477,62.4443
5,1,2.94524,195.867,180845,195.655,2461.48
5,2,10.0836,68.9653,6256.37,68.2134,187.974
5,3,15.9716,26.6105,4898.02,26.4667,581.238
5,4,25.9395,52.6949,98.769,34.3621,903.82
5,5,41.7424,17.5062,3418.66,17.417,554.25
5,6,44.0595,20.9814,14844.8,20.9518,1581.59
6,1,4.03167,172.57,10688.9,169.828,624.642
6,2,11.8542,79.0982,2903.01,77.0001,419.79
6,3,18.935,22.9262,3209.76,22.7636,147.141
6,4,25.5813,63.4384,83.3349,36.019,1116.01
6,5,41.5006,16.9837,170.975,15.4491,112.89
6,6,44.5785,12.4509,968.439,12.2929,131.429
7,1,5.23952,163.126,2486.18,153.082,322.11
7,2,13.493,81.1727,1894.64,77.8378,1083.4
7,3,21.7871,18.5529,493.486,17.8807,181.83
7,4,25.1512,76.9539,45.885,28.7452,157.915
7,5,41.2492,21.0616,25.1927,11.4713,365.352
7,6,45.0335,15.9271,607.506,15.5202,11148.9
8,1,6.53739,152.049,1199.64,134.945,153.244
8,2,14.9809,84.8494,1612.88,80.6088,290.072
8,3,24.5212,20.7964,96.9847,17.1244,233.335
8,4,24.6484,127.558,39.1782,29.9724,106.495
8,5,41.0018,34.7152,17.1243,11.4676,947.277
8,6,45.3712,14.5779,198.092,13.5787,438.245
9,1,7.89189,129.864,602.593,106.839,203.977
9,2,16.3017,91.7736,1617.53,86.8462,342.957
9,3,24.0737,185.302,40.059,32.9383,117.725
9,4,27.1336,22.5064,29.9962,12.8585,42.7151
9,5,40.7706,40.3499,20.8104,13.7294,348.339
9,6,45.5439,12.4516,31.284,8.90661,13387.7
10,1,9.268,148.178,671.88,121.403,166.903
10,2,17.4423,99.0117,1350.89,92.2503,620.455
10,3,23.431,217.036,39.2819,33.2618,195.706
10,4,29.621,24.3035,17.7311,10.2517,97.9317
10,5,40.5658,12.672,20.2466,7.79393,1410.85
10,6,45.5125,14.9797,4.78235,3.62504,3194.66
11,1,10.6282,138.404,500.902,108.441,257.551
11,2,18.3941,117.129,839.989,102.795,360.94
11,3,22.7292,252.507,45.3708,38.4602,50.1348
11,4,31.9783,20.4589,15.4219,8.79342,62.3082
11,5,40.3947,26.6013,32.7987,14.6883,2897.41
11,6,45.248,20.3586,6.24646,4.77989,267.139
12,1,11.9288,139.841,303.772,95.7587,221.044
